tbl_DEXA_Data.Lean,qry_MR_180_Data.Lean,BW
27.1,26.8,37.1
24.9,24.5,29.2
24.6,24.8,28.7
22.7,22.9,27.1
24.2,24.1,29.9
24.7,25.4,31.8
23.9,24.1,29
24.6,24.7,29.9
24.6,24.3,30.1
28.5,27.8,38.7
24.9,24.8,34.8
25.4,26.3,32.5
27.3,29,35
27.5,26.5,33.6
28.1,27.4,36.3
27,26.8,35.5
24.5,24.3,29
31,30.7,38
26.9,27.4,32.8
26.3,27,31.9
28.6,29.9,35.2
30.4,30.1,37.1
29.2,29.4,33.5
24.6,23.2,30.6
26.6,25.2,32.4
28.7,27.1,36.7
28,29.1,35.2
28,28.7,33.4
26.1,26.7,29.7
25.4,24.2,29.7
27.1,25.9,31.7
25.9,25.9,29.5
27.1,27.2,31.9
22.9,23.9,28.7
21.5,22.3,27.3
28.4,28,37.6
24.2,24.6,31.4
24.5,24.8,32.3
24.5,24.4,32.2
26.3,26.1,34.7
27,27.2,36.4
26,25.8,32.6
27,27.3,34.2
20.7,20.2,24.9
24.6,23.2,31.6
26.1,24.6,34.4
25.7,25,32.6
26.6,26.2,39.2
27.1,26.8,36.7
28.8,27.5,33.9
28.4,28.2,33.9
28.1,27.6,33.1
26.7,26.9,32.8
24.7,24.7,30.4
27.6,26.8,33
27.2,26.6,33.8
29.5,27.2,37
27.7,26.8,35.1
24.1,25.4,29.1
22.7,21.5,28.1
24.1,24.1,30.8
23.8,23.5,28.9
28.4,27.6,38.4
24.9,25.1,31.8
25.4,24.9,30.8
23.5,23.2,27.8
28.8,29.1,33.6
29.3,27.3,36.4
32.8,30.4,44.3
24.8,24,28.9
25.5,24.2,30.6
27.3,25.7,33
25.2,23.7,30
23.6,23.7,27.6
26.6,27,33.4
25.7,25.8,30.4
25.5,25,32.8
25.1,24.4,30.5
30.2,30.2,39.7
27.2,27.1,32.4
26.2,26.3,35
23.9,24.3,31.8
21.5,21.3,27.2
26.5,26.3,32.6
25.3,25.8,31.9
22.5,22.6,28.3
22.1,23.1,28.7
26.5,27.8,32.6
25.3,26,31.7
22,21,27
22.3,21.3,27.4
24.9,24.3,31.5
26.5,26.3,33.4
26.4,26.1,33.4
25.4,25,33.4
20.1,20.6,24.3
23,22.8,29.1
26.6,26.5,35.5
25.1,24.6,33.2
22.8,22.7,27.4
23.7,24,30.3
30.2,30.2,35.7
23.9,24,28.4
22.1,22.6,27.8
25.5,25.6,31.7
25.6,25.7,33.1
26.5,27.5,36.6
26.2,27.2,35.7
21.3,21.5,26.1
23.7,24.6,29.8
24.3,23.1,29.4
23.6,23,29.4
29.1,29.4,36.7
28.6,29.1,33
23.6,24,29.6
26.1,28,30.2
23.8,24.3,29.2
28.7,30.9,33.7
29.2,30.2,33.5
24.7,25,28.3
26.2,26.5,33
28,26.9,35.3
17.7,16.9,21.1
22.1,21.8,27
22.5,22.8,27.5
23.5,23.2,29
24.1,23.5,29.5
22.8,23.9,28.4
23.7,24.3,29.3
23.4,24.4,29
25.3,25.6,31.3
24,25.2,29.4
21.8,22.8,24.8
25.5,27.2,30
24.7,26,29.5
25.8,27.1,31.4
24.8,24.6,30.1
23.6,24,29.5
21.6,22.1,26.6
20.1,20.6,25.3
23,23.2,26.9
22.4,22.7,26.4
24.3,23.1,29.2
26.6,26.1,33.3
30.9,30.7,40.9
28.5,28.2,36
24.5,25,29.1
22.7,23.6,27.8
24.5,25.5,30
19.5,19.9,23.6
24.4,24.5,31.4
24.5,23.6,31.8
22,21.2,27.3
26.4,25.1,33
25.1,24.5,29.9
27.3,25.3,34
24,23.5,29.8
27.3,27.7,31.9
26.9,27.2,31.7
26.6,26.7,31.7
22.2,22.6,28.2
23.2,23.9,28.2
25.8,25.8,32
24.5,24.1,31.2
25.7,26.3,32.7
25.6,25.3,31
25.6,26.1,30.4
28.2,28.9,36.6
27,27.4,32.6
25.2,26.2,30.6
25.2,25,30.6
26.7,27.4,31.3
25.9,27.5,30.8
24.3,25.9,27.8
29.8,29.9,37.5
26.3,25.7,32.1
26,27.2,32.4
24,24.2,28.1
21,22.4,24.1
21.9,21.2,25.4
27.3,30,34.6
25.9,29.2,31.5
28.5,31.9,32.3
27.5,29.8,37.4
22.7,23.9,27.9
24.4,25.2,29
22,23.7,26.7
22.6,23.9,26.8
21.4,23.5,25.8
22.2,24.8,26.7
26.1,28.6,31.4
23.8,25.4,28.3
23.6,26.1,29.8
22.6,24.5,27.4
28.8,31.1,38.9
25.1,26.5,31
26,27.9,33.9
26,27.2,31.3
25.5,27.2,30.4
25.8,27.1,30.1
24.1,25.8,29.6
24.3,25.1,28.5
28.7,30.9,35
24.2,25.5,30.1
28.5,31.1,34.4
29.7,31,36.4
27.2,28.7,32.8
25.5,27.8,30.4
27.4,30.4,32.6
26.6,29.7,31
28.3,31.1,33.8
28.4,31,33.3
24.7,26.7,29.5
26,28.4,32.2
25.2,28.4,31.5
27.1,29.2,35.9
27.6,29.3,33.3
24.7,27.3,30.9
26.7,29.1,33.1
23.8,25.9,28.6
27.5,29.6,34.5
27.2,29.1,35.6
23.7,26.6,29.1
25.1,27.1,31.8
25,27.5,31.3
24.9,28,28.9
26.9,29.6,31.9
24.8,26.6,30.9
23.1,25.1,28.8
25.9,26.7,31.4
23.8,25.4,28.7
24.7,26.8,30.9
21.2,23.6,25.5
23.9,27.4,28.3
25.4,28.8,30.7
22,24.4,27.1
24.1,26.3,28.3
25,26,31.4
25.6,29.4,29.2
22,25.3,28
24.9,29.2,29.5
20.6,23.3,25.8
27.1,29.1,32.5
25.6,28.7,29.5
28.6,32.2,33.1
24.2,26.7,28.4
22.4,25.3,25.7
27.2,30.1,32
24,25.9,27.6
25.7,28.6,30.4
23.6,26.5,27.1
27.3,29.4,32.8
27.1,29.4,33.2
24,26.1,29.4
24.3,26.4,28.7
24.3,25.4,30.6
25.4,28.9,29.8
25,28.6,29.8
24.1,27.4,30.2
26.5,30.1,31.1
22.8,25.6,27.9
23.5,26.1,29.6
23.5,25.5,28.5
25.5,27.9,29.7
26,28.7,31.9
24.2,25.9,28.6
26,28.6,31.6
25,27.1,30.7
23.5,25.1,28
24.4,26.7,28.9
24.5,27.9,29.7
24.7,27.8,30.4
23.8,25.8,27.2
21.7,23.6,25.7
22.3,24.9,26.5
20.4,22.6,24.6
27,29.5,31.3
23.9,25.8,28.4
24.9,27,29.9
24.7,26.7,29.9
26.1,27.8,31.4
23.4,23.9,27.8
24,24.4,29.3
26,28,31.3
26,27.9,31.8
25.4,28.3,31.3
22.8,25.9,27.1
23.5,26.1,28
27.6,29.1,34.1
27.1,30,31
29.8,31.9,34.3
26.5,28.5,31.1
24.7,27,29.1
23.4,26.5,28.1
26.4,29.4,31.1
27.4,30.7,31.7
27.6,29.9,31.3
22.9,26.4,29
27.9,31,32
22.4,25.7,25.6
24,27.9,28.6
25.3,28.7,29
22.9,25.1,27
25,28.5,28.2
23.7,27.7,27.4
